Access Name,URL,imgURL,County,Type,Location,Access Type,Path to Beach,Managed by,Parking,Fee,Bathrooms,Handicap Access,Running Water,Showers,Camp Sites,Stairs to Beach,Boat Ramps,Tidepooling,Surfing,Hiking,Bicycling,Horseback Riding,Road Vehicle Access,Whale Watching
Cape Lookout State Park / Beach,?option=com_jumi&view=application&fileid=13&a=227&Itemid=109,/images/learn/access/.gif,Tillamook,Cape Lookout State Park / Beach,Pedestrian Access,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no
Sand Lake,?option=com_jumi&view=application&fileid=13&a=228&Itemid=109,/images/learn/access/P001858.gif,Tillamook,Sand Lake,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no
Galloway Road,?option=com_jumi&view=application&fileid=13&a=229&Itemid=109,/images/learn/access/P001857.gif,Tillamook,Galloway Road,Vehicle Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,yes,no,no,yes,no
Sand Lake Dunes,?option=com_jumi&view=application&fileid=13&a=230&Itemid=109,/images/learn/access/P001855.gif,Tillamook,Sand Lake Dunes,Vehicle Access,beach,unpaved,CNTY/USFS,paved,yes,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no
Jasmine Ave,?option=com_jumi&view=application&fileid=13&a=231&Itemid=109,/images/learn/access/P001388.gif,Tillamook,Jasmine Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pier Ave,?option=com_jumi&view=application&fileid=13&a=232&Itemid=109,/images/learn/access/P001389.gif,Tillamook,Pier Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Holly Ave,?option=com_jumi&view=application&fileid=13&a=233&Itemid=109,/images/learn/access/P001390.gif,Tillamook,Holly Ave,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Guardenia Ave,?option=com_jumi&view=application&fileid=13&a=234&Itemid=109,/images/learn/access/P001391.gif,Tillamook,Guardenia Ave,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Austin Ave,?option=com_jumi&view=application&fileid=13&a=235&Itemid=109,/images/learn/access/P001392.gif,Tillamook,Austin Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Bilyeu Ave,?option=com_jumi&view=application&fileid=13&a=236&Itemid=109,/images/learn/access/P001393.gif,Tillamook,Bilyeu Ave,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
Coats Ave,?option=com_jumi&view=application&fileid=13&a=237&Itemid=109,/images/learn/access/P001394.gif,Tillamook,Coats Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Devaney Ave,?option=com_jumi&view=application&fileid=13&a=238&Itemid=109,/images/learn/access/P001395.gif,Tillamook,Devaney Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
Eloise Ave,?option=com_jumi&view=application&fileid=13&a=239&Itemid=109,/images/learn/access/P001396.gif,Tillamook,Eloise Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Floyd Ave,?option=com_jumi&view=application&fileid=13&a=240&Itemid=109,/images/learn/access/P001397.gif,Tillamook,Floyd Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Gage Ave,?option=com_jumi&view=application&fileid=13&a=241&Itemid=109,/images/learn/access/P001398.gif,Tillamook,Gage Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Harris Ave,?option=com_jumi&view=application&fileid=13&a=242&Itemid=109,/images/learn/access/P001399.gif,Tillamook,Harris Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sandlake County Road,?option=com_jumi&view=application&fileid=13&a=243&Itemid=109,/images/learn/access/P001400.gif,Tillamook,Sandlake County Road,Vehicle Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Three Capes Loop Road,?option=com_jumi&view=application&fileid=13&a=244&Itemid=109,/images/learn/access/P001401.gif,Tillamook,Three Capes Loop Road,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cape Kiwanda State Park,?option=com_jumi&view=application&fileid=13&a=245&Itemid=109,/images/learn/access/P001403.gif,Tillamook,Cape Kiwanda State Park,Pedestrian Access,beach,unpaved,State Parks,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cape Kiwanda Launch,?option=com_jumi&view=application&fileid=13&a=246&Itemid=109,/images/learn/access/P001402.gif,Tillamook,Cape Kiwanda Launch,Boat Access,beach,unpaved,County,paved,no,yes,no,yes,no,no,no,paved,yes,no,yes,no,yes,yes,yes
Alder Street,?option=com_jumi&view=application&fileid=13&a=247&Itemid=109,/images/learn/access/P001404.gif,Tillamook,Alder Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
Pacific Ave,?option=com_jumi&view=application&fileid=13&a=248&Itemid=109,/images/learn/access/P001405.gif,Tillamook,Pacific Ave,Vehicle Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no
Bob Straub State Park,?option=com_jumi&view=application&fileid=13&a=249&Itemid=109,/images/learn/access/P001406.gif,Tillamook,Bob Straub State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Bob Straub State Park,?option=com_jumi&view=application&fileid=13&a=250&Itemid=109,/images/learn/access/.gif,Tillamook,Bob Straub State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Winema Road,?option=com_jumi&view=application&fileid=13&a=251&Itemid=109,/images/learn/access/P001855.gif,Tillamook,Winema Road,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Highway 101,?option=com_jumi&view=application&fileid=13&a=252&Itemid=109,/images/learn/access/P001854.gif,Tillamook,Highway 101,Visual Access Only,beach,none,Dept. of Transportation,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North Neskowin,?option=com_jumi&view=application&fileid=13&a=253&Itemid=109,/images/learn/access/P001852.gif,Tillamook,North Neskowin,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North Neskowin,?option=com_jumi&view=application&fileid=13&a=254&Itemid=109,/images/learn/access/P001853.gif,Tillamook,North Neskowin,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tillamook Street,?option=com_jumi&view=application&fileid=13&a=255&Itemid=109,/images/learn/access/P001385.gif,Tillamook,Tillamook Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Los Angeles Street,?option=com_jumi&view=application&fileid=13&a=256&Itemid=109,/images/learn/access/P001382.gif,Tillamook,Los Angeles Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Corvallis Ave,?option=com_jumi&view=application&fileid=13&a=257&Itemid=109,/images/learn/access/P001381.gif,Tillamook,Corvallis Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Mount Angel Street,?option=com_jumi&view=application&fileid=13&a=258&Itemid=109,/images/learn/access/P001380.gif,Tillamook,Mount Angel Street,Vehicle Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sheridan Ave,?option=com_jumi&view=application&fileid=13&a=259&Itemid=109,/images/learn/access/P001379.gif,Tillamook,Sheridan Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Amity Ave,?option=com_jumi&view=application&fileid=13&a=260&Itemid=109,/images/learn/access/P001378.gif,Tillamook,Amity Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Sallas,?option=com_jumi&view=application&fileid=13&a=261&Itemid=109,/images/learn/access/P001377.gif,Tillamook,Sallas,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Silverton & Ocean Street,?option=com_jumi&view=application&fileid=13&a=262&Itemid=109,/images/learn/access/P001376.gif,Tillamook,Silverton & Ocean Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Independence Ave,?option=com_jumi&view=application&fileid=13&a=263&Itemid=109,/images/learn/access/P001375.gif,Tillamook,Independence Ave,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Yamhill Street,?option=com_jumi&view=application&fileid=13&a=264&Itemid=109,/images/learn/access/P001374.gif,Tillamook,Yamhill Street,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North of McMinnville,?option=com_jumi&view=application&fileid=13&a=265&Itemid=109,/images/learn/access/P001373.gif,Tillamook,North of McMinnville,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cascade Head / North Viewpoint,?option=com_jumi&view=application&fileid=13&a=266&Itemid=109,/images/learn/access/P001864.gif,Tillamook,Cascade Head / North Viewpoint,Visual Access Only,beach,unpaved,Nature Conservancy,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Carlton Way,?option=com_jumi&view=application&fileid=13&a=267&Itemid=109,/images/learn/access/P001372.gif,Tillamook,Carlton Way,Visual Access Only,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Neskowin State Park,?option=com_jumi&view=application&fileid=13&a=268&Itemid=109,/images/learn/access/P001851.gif,Tillamook,Neskowin State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Cascade Head / Viewpoint,?option=com_jumi&view=application&fileid=13&a=269&Itemid=109,/images/learn/access/.gif,Tillamook,Cascade Head / Viewpoint,Visual Access Only,beach,none,USFS,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cascade Head / Harts Cove,?option=com_jumi&view=application&fileid=13&a=270&Itemid=109,/images/learn/access/.gif,Tillamook,Cascade Head / Harts Cove,Pedestrian Access,beach,unpaved,USFS,unpaved,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes
Cascade Head / South Viewpoint,?option=com_jumi&view=application&fileid=13&a=271&Itemid=109,/images/learn/access/P001863.gif,Tillamook,Cascade Head / South Viewpoint,Visual Access Only,beach,unpaved,Nature Conservancy,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Neptune Drive / Roads End,?option=com_jumi&view=application&fileid=13&a=272&Itemid=109,/images/learn/access/P001692.gif,Lincoln,Neptune Drive / Roads End,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
150 feet North of 72nd / Roads End,?option=com_jumi&view=application&fileid=13&a=273&Itemid=109,/images/learn/access/P001693.gif,Lincoln,150 feet North of 72nd / Roads End,Pedestrian Access,beach,unpaved,County,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
50 feet North of 68th / Roads End,?option=com_jumi&view=application&fileid=13&a=274&Itemid=109,/images/learn/access/p518.gif,Lincoln,50 feet North of 68th / Roads End,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North of 66th Street / Roads End,?option=com_jumi&view=application&fileid=13&a=275&Itemid=109,/images/learn/access/p519.gif,Lincoln,North of 66th Street / Roads End,Pedestrian Access,beach,paved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
64th Street / Roads End,?option=com_jumi&view=application&fileid=13&a=276&Itemid=109,/images/learn/access/p520.gif,Lincoln,64th Street / Roads End,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Roads End State Park,?option=com_jumi&view=application&fileid=13&a=277&Itemid=109,/images/learn/access/P001690.gif,Lincoln,Roads End State Park,Pedestrian Access,beach,paved,State Parks,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 59th / Roads End,?option=com_jumi&view=application&fileid=13&a=278&Itemid=109,/images/learn/access/P001691.gif,Lincoln,NW 59th / Roads End,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South of NW 50th Street,?option=com_jumi&view=application&fileid=13&a=279&Itemid=109,/images/learn/access/P001697.gif,Lincoln,South of NW 50th Street,Pedestrian Access,beach,unpaved,City,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 40th Street,?option=com_jumi&view=application&fileid=13&a=280&Itemid=109,/images/learn/access/P001370.gif,Lincoln,North 40th Street,Pedestrian Access,beach,none,Private,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North of 3755 North Jetty,?option=com_jumi&view=application&fileid=13&a=281&Itemid=109,/images/learn/access/P001367.gif,Lincoln,North of 3755 North Jetty,Pedestrian Access,beach,paved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North of 3453 North Jetty,?option=com_jumi&view=application&fileid=13&a=282&Itemid=109,/images/learn/access/P001368.gif,Lincoln,North of 3453 North Jetty,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
North 35th Street,?option=com_jumi&view=application&fileid=13&a=283&Itemid=109,/images/learn/access/P001366.gif,Lincoln,North 35th Street,Pedestrian Access,beach,none,unknown,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Wecoma Beach Park,?option=com_jumi&view=application&fileid=13&a=284&Itemid=109,/images/learn/access/P001369.gif,Lincoln,Wecoma Beach Park,Visual Access Only,beach,none,City,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 3st Place,?option=com_jumi&view=application&fileid=13&a=285&Itemid=109,/images/learn/access/P001365.gif,Lincoln,NW 3st Place,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 26th Street,?option=com_jumi&view=application&fileid=13&a=286&Itemid=109,/images/learn/access/p534.gif,Lincoln,North 26th Street,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
North 21st Street,?option=com_jumi&view=application&fileid=13&a=287&Itemid=109,/images/learn/access/p535.gif,Lincoln,North 21st Street,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
North 20th Street,?option=com_jumi&view=application&fileid=13&a=288&Itemid=109,/images/learn/access/P001361.gif,Lincoln,North 20th Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 19th Street,?option=com_jumi&view=application&fileid=13&a=289&Itemid=109,/images/learn/access/P001360.gif,Lincoln,North 19th Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 17th Street,?option=com_jumi&view=application&fileid=13&a=290&Itemid=109,/images/learn/access/p540.gif,Lincoln,North 17th Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 16th Street,?option=com_jumi&view=application&fileid=13&a=291&Itemid=109,/images/learn/access/P001355.gif,Lincoln,North 16th Street,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 15th Street,?option=com_jumi&view=application&fileid=13&a=292&Itemid=109,/images/learn/access/p542.gif,Lincoln,North 15th Street,Pedestrian Access,beach,unpaved,City,none,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 11th Street,?option=com_jumi&view=application&fileid=13&a=293&Itemid=109,/images/learn/access/P001359.gif,Lincoln,NW 11th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 6th Court,?option=com_jumi&view=application&fileid=13&a=294&Itemid=109,/images/learn/access/P001354.gif,Lincoln,NW 6th Court,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North 5th Court,?option=com_jumi&view=application&fileid=13&a=295&Itemid=109,/images/learn/access/p546.gif,Lincoln,North 5th Court,Pedestrian Access,beach,paved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
The Rivera (NW 1st-5th Streets),?option=com_jumi&view=application&fileid=13&a=296&Itemid=109,/images/learn/access/P001352.gif,Lincoln,The Rivera (NW 1st-5th Streets),Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
NW 1st Court,?option=com_jumi&view=application&fileid=13&a=297&Itemid=109,/images/learn/access/p548.gif,Lincoln,NW 1st Court,Pedestrian Access,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
D - River State Park,?option=com_jumi&view=application&fileid=13&a=298&Itemid=109,/images/learn/access/P001350.gif,Lincoln,D - River State Park,Pedestrian Access,beach,unpaved,State Parks,paved,no,yes,no,yes,no,no,yes,no,no,no,no,no,no,no,no
South Beach Street (100 block),?option=com_jumi&view=application&fileid=13&a=299&Itemid=109,/images/learn/access/P001349.gif,Lincoln,South Beach Street (100 block),Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 5th Street,?option=com_jumi&view=application&fileid=13&a=300&Itemid=109,/images/learn/access/P001348.gif,Lincoln,South 5th Street,Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SW 6th Street,?option=com_jumi&view=application&fileid=13&a=301&Itemid=109,/images/learn/access/P001346.gif,Lincoln,SW 6th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SW 7th Street,?option=com_jumi&view=application&fileid=13&a=302&Itemid=109,/images/learn/access/P001344.gif,Lincoln,SW 7th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SW 8th Street,?option=com_jumi&view=application&fileid=13&a=303&Itemid=109,/images/learn/access/P001343.gif,Lincoln,SW 8th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SW 9th Street,?option=com_jumi&view=application&fileid=13&a=304&Itemid=109,/images/learn/access/P001342.gif,Lincoln,SW 9th Street,Visual Access Only,beach,none,unknown,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
SW 10th Street,?option=com_jumi&view=application&fileid=13&a=305&Itemid=109,/images/learn/access/P001341.gif,Lincoln,SW 10th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Canyon Drive Park / South 11th Street,?option=com_jumi&view=application&fileid=13&a=306&Itemid=109,/images/learn/access/P001340.gif,Lincoln,Canyon Drive Park / South 11th Street,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
SW 24th Street / Shamrock Place,?option=com_jumi&view=application&fileid=13&a=307&Itemid=109,/images/learn/access/P001294.gif,Lincoln,SW 24th Street / Shamrock Place,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 33rd Street,?option=com_jumi&view=application&fileid=13&a=308&Itemid=109,/images/learn/access/P001293.gif,Lincoln,South 33rd Street,Pedestrian Access,beach,unpaved,City,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 35th Street,?option=com_jumi&view=application&fileid=13&a=309&Itemid=109,/images/learn/access/P001292.gif,Lincoln,South 35th Street,Pedestrian Access,beach,unpaved,City,unpaved,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no
South 38th Street / Anchor Court,?option=com_jumi&view=application&fileid=13&a=310&Itemid=109,/images/learn/access/P001291.gif,Lincoln,South 38th Street / Anchor Court,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 44th Street,?option=com_jumi&view=application&fileid=13&a=311&Itemid=109,/images/learn/access/P001290.gif,Lincoln,South 44th Street,Pedestrian Access,beach,unpaved,City,none,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no
SW 48th Street,?option=com_jumi&view=application&fileid=13&a=312&Itemid=109,/images/learn/access/P001289.gif,Lincoln,SW 48th Street,Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
South 51st Street,?option=com_jumi&view=application&fileid=13&a=313&Itemid=109,/images/learn/access/P001288.gif,Lincoln,South 51st Street,Pedestrian Access,beach,unpaved,City,paved,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no
Sijota Street / Glenden Beach,?option=com_jumi&view=application&fileid=13&a=314&Itemid=109,/images/learn/access/P001287.gif,Lincoln,Sijota Street / Glenden Beach,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Laurel Street at Glenden Beach,?option=com_jumi&view=application&fileid=13&a=315&Itemid=109,/images/learn/access/P001286.gif,Lincoln,Laurel Street at Glenden Beach,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Stevens Street at Gleneden Beach,?option=com_jumi&view=application&fileid=13&a=316&Itemid=109,/images/learn/access/P001285.gif,Lincoln,Stevens Street at Gleneden Beach,Visual Access Only,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Easy Street at Glenden Beach,?option=com_jumi&view=application&fileid=13&a=317&Itemid=109,/images/learn/access/P001284.gif,Lincoln,Easy Street at Glenden Beach,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Gleneden Beach State Park,?option=com_jumi&view=application&fileid=13&a=318&Itemid=109,/images/learn/access/P001283.gif,Lincoln,Gleneden Beach State Park,Pedestrian Access,beach,paved,State Parks,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Wesler Street at Gleneden Beach,?option=com_jumi&view=application&fileid=13&a=319&Itemid=109,/images/learn/access/P001282.gif,Lincoln,Wesler Street at Gleneden Beach,Vehicle Access,beach,unpaved,County,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lorraine Street at Gleneden Beach,?option=com_jumi&view=application&fileid=13&a=320&Itemid=109,/images/learn/access/P001282.gif,Lincoln,Lorraine Street at Gleneden Beach,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Wallace Street at Gleneden Beach,?option=com_jumi&view=application&fileid=13&a=321&Itemid=109,/images/learn/access/P001280.gif,Lincoln,Wallace Street at Gleneden Beach,Pedestrian Access,beach,none,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Monterey Street,?option=com_jumi&view=application&fileid=13&a=322&Itemid=109,/images/learn/access/.gif,Lincoln,Monterey Street,Pedestrian Access,beach,unpaved,Private,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Division Drive at Lincoln Beach,?option=com_jumi&view=application&fileid=13&a=323&Itemid=109,/images/learn/access/P001277.gif,Lincoln,Division Drive at Lincoln Beach,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Tide Street at Lincoln Beach,?option=com_jumi&view=application&fileid=13&a=324&Itemid=109,/images/learn/access/P001276.gif,Lincoln,Tide Street at Lincoln Beach,Pedestrian Access,beach,unpaved,County,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Willow Street / Lincoln Beach,?option=com_jumi&view=application&fileid=13&a=325&Itemid=109,/images/learn/access/P001275.gif,Lincoln,Willow Street / Lincoln Beach,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lincoln Ave at Lincoln Beach,?option=com_jumi&view=application&fileid=13&a=326&Itemid=109,/images/learn/access/P001274.gif,Lincoln,Lincoln Ave at Lincoln Beach,Pedestrian Access,beach,unpaved,County,unpaved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fishing Rock State Park,?option=com_jumi&view=application&fileid=13&a=327&Itemid=109,/images/learn/access/P001273.gif,Lincoln,Fishing Rock State Park,Pedestrian Access,beach,unpaved,State Parks,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Highway 101 North of Fogarty Creek,?option=com_jumi&view=application&fileid=13&a=328&Itemid=109,/images/learn/access/P001698.gif,Lincoln,Highway 101 North of Fogarty Creek,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Fogarty Creek State Park,?option=com_jumi&view=application&fileid=13&a=329&Itemid=109,/images/learn/access/P001272.gif,Lincoln,Fogarty Creek State Park,Pedestrian Access,beach,paved,State Parks,paved,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Highway 101 North of Boiler Bay,?option=com_jumi&view=application&fileid=13&a=330&Itemid=109,/images/learn/access/P001699.gif,Lincoln,Highway 101 North of Boiler Bay,Visual Access Only,beach,none,Dept. of Transportation,paved,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Boiler Bay State Park,?option=com_jumi&view=application&fileid=13&a=331&Itemid=109,/images/learn/access/P001268.gif,Lincoln,Boiler Bay State Park,Visual Access Only,beach,none,State Parks,paved,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no
Pirate Cove North,?option=com_jumi&view=application&fileid=13&a=332&Itemid=109,/images/learn/access/.gif,Lincoln,Pirate Cove North,Visual Access Only,beach,none,City,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Spencer Street,?option=com_jumi&view=application&fileid=13&a=333&Itemid=109,/images/learn/access/P001279.gif,Lincoln,Spencer Street,Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
North End of Alsea Ave (Vista),?option=com_jumi&view=application&fileid=13&a=334&Itemid=109,/images/learn/access/P001238.gif,Lincoln,North End of Alsea Ave (Vista),Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Lee Street off Alsea Bay / North & South end,?option=com_jumi&view=application&fileid=13&a=335&Itemid=109,/images/learn/access/P001252.gif,Lincoln,Lee Street off Alsea Bay / North & South end,Pedestrian Access,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Floral Ave,?option=com_jumi&view=application&fileid=13&a=336&Itemid=109,/images/learn/access/P001245.gif,Lincoln,Floral Ave,Visual Access Only,beach,none,City,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Cove View Place (End of Spencer),?option=com_jumi&view=application&fileid=13&a=337&Itemid=109,/images/learn/access/P001254.gif,Lincoln,Cove View Place (End of Spencer),Visual Access Only,beach,none,unknown,none,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
Pirate Cove South,?option=com_jumi&view=application&fileid=13&a=338&Itemid=109,/images/learn/access/.gif,Lincoln,Pirate Cove South,Visual Access Only,beach,unpaved,City,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
